wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs
080007,0800070001,1993,1993/11/15,13.52375964,3.954545498,174508,0,0,6.382506956,3.735893557,1.485473808,0.944151899,0,0,8.849473567,0,0,0,6.077750649,5.616533573,0,0,0,0,16.01041185,1.331787723,3.888315381,7.533463257,0,1.066297063,6.04075965,12.96946664,6.395606695,0,57.14304802,139.7268299,19248000
080008,0800080001,1993,1993/11/15,39.77254132,4.761538029,174508,8.891125755,9.634947732,37.0215857,0,1.903311553,0,7.487511841,6.101673195,0,59.1125131,1.705007838,5.260546759,115.8868583,3.050511787,0,4.333684759,2.098273742,1.378732363,0,0,0,0.499841631,57.1025847,15.42933392,47.71039515,73.57457559,72.59222774,17.32634046,0,0,28948000
080001,0800010001,1996,1996/9/23,28.28568061,4.544000149,374732,22.37253332,0,2.549909242,0,0,0,6.404977307,10.65435306,1.477566363,0,0,0,0,24.96696894,1.789013109,0,0,0,4.4837258,0.662094396,13.87442405,5.674662222,10.31578042,0,0,12.77779514,206.2030828,1.076797777,9.988128358,0,140536000
080003,0800030003,1996,1996/9/23,8.778929416,5.422221661,41801,2.353920215,2.125586135,0,0,6.601520336,4.63658165,0.94101944,43.36395842,0,2.284749151,0.513395789,14.0689766,22.2572536,0,0,10.65662769,0,9.059410738,4.005568367,3.474547975,5.2622421,0,12.40046504,0,0,0,0,29.25225299,210.5622099,0,25213000
080003,0800030007,1996,1996/9/23,24.06619476,6.43599987,69500,6.075374081,0.201474413,0,0,21.21989259,0,8.760199249,0,0,0,0,0,0,15.75291928,1.792540048,0,0,0,0,0,0,0,3.358457909,0,0,1.092705768,8.083507928,83.73715751,189.2647699,0,11922000
080003,0800030009,1996,1996/9/23,30.38373589,5.242857456,27699,0,0,0,13.69446278,10.67188002,0,0.281443455,10.24347964,0,0,0,0,8.060926168,15.21693092,0,16.93853396,6.786540374,0,0,1.668305497,48.26333802,1.064689701,0,0,0,0,23.18717879,6.411074234,201.8659803,0,27504000
080005,0800050001,1996,1996/9/23,17.80323434,3.893750191,27699,4.299315433,15.34435402,1.216112191,16.67525762,20.96397486,0,0,0.878854137,0,0,0,0,0,11.53046496,25.69687612,1.871821738,1.767760568,1.60509483,18.80919335,0.147438982,0.095932466,7.012308519,41.17553633,1.25456018,8.779148627,1.533332944,0,34.7781623,177.5084784,0.382566372,5887000
080003,0800030003,1997,1997/5/25,8.778929416,5.422221661,41801,0,0,0,0,0,23.30789128,0,0,18.81584183,0,0,8.325367858,0,0,0,0,2.225898261,20.56184885,0.684943751,0,1.44083941,24.98566227,0,0,0,0,12.0448112,218.0425345,17.00395233,0,8246000
080005,0800050001,1997,1997/5/25,17.80323434,3.893750191,27699,22.62228988,0,2.592447345,0,0,0.286456465,8.78462478,13.80100841,2.174815398,0,0,0,0,25.03876897,1.387622864,0,0,0,4.633407358,0.988433306,18.5084456,6.392835608,10.57771137,0,0.088632217,17.13699298,339.3922456,1.972797381,13.27885721,0,1358000
080001,0800010001,1998,1998/8/31,28.28568061,4.544000149,374732,0,7.613135206,22.92076858,0,0,1.527667801,0.261412757,0,0,5.088604062,55.53489202,0,7.024336651,0.583895943,0,0,0,0,0,0.83710247,18.92606422,0,49.4845143,0,12.50520739,0,0,0,14.2804846,95.22245534,10947000
080003,0800030009,1998,1998/8/31,30.38373589,5.242857456,27699,0,0,1.953844511,0,0,0,0,1.263823459,0,0,36.99100754,0.530722962,0,2.929042118,0.83990386,0,0,3.775532797,2.038137731,0,115.7945803,32.06907754,0,11.3790666,0,0,0.559655159,0,0,0,12283000
080005,0800050001,1998,1998/8/31,17.80323434,3.893750191,27699,3.64230019,3.934844213,0,0,10.92445183,0.915987975,0.808444002,31.48446475,0,1.208801492,0.693342697,6.990200719,15.88818247,0,0,11.28685423,0,8.242629549,3.885926171,3.776305151,4.638141192,0,17.10984336,0,0,0,0,34.64770792,199.5155679,0,2204000
080006,0800060001,1998,1998/8/31,44.1469728,5.725532055,202207,0,0,0,13.23925094,13.17236259,0,0,5.760656254,0,0,0,0,6.357596781,14.39253997,0,17.62615377,6.09438239,0,0,1.852476233,40.47578034,0.764624948,0,0,0,0,20.70655562,6.21630461,186.3883633,0,5415000
080006,0800060003,1998,1998/8/31,12.84748543,5.949999809,27699,2.13238258,28.87923287,10.74762531,0.412443213,3.792097914,8.185885183,3.165292658,0,0,0,1.32653936,0.550675935,30.99077756,4.746547635,4.387799257,20.09026673,23.57724171,1.430400493,31.07761842,0,0,0,0,0,8.48469368,26.26662063,19.03264025,112.3513521,69.36743569,16.12009157,8519000
080008,0800080001,1998,1998/8/31,39.77254132,4.761538029,174508,20.3476592,0,2.678578924,0,0,0,6.040069678,9.995505832,1.556448429,0,0,0,0,15.66145032,1.079136941,0,0,0,4.833369336,0.643129247,14.56415042,5.036779274,10.8027445,0,0.640633567,14.52265029,271.6732178,2.059590654,11.59606681,0,3990000
080001,0800010001,1999,1999/7/17,28.28568061,4.544000149,374732,2.814608714,3.365050092,0.057697943,0,8.565663006,1.545230428,0.559596756,29.48824894,0,0.995127811,0.422395747,8.326300385,13.27832207,0,0,9.61131041,0,7.043666185,3.436800511,3.324326811,4.09852639,0,10.18518092,0,0,0.215144042,0,27.60110364,159.0646635,0,2557000
080003,0800030003,1999,1999/7/17,8.778929416,5.422221661,41801,6.577102046,1.533943975,0.339297085,0,16.99604285,0,7.382562318,0,0,0,0,0,0,15.70505813,1.62634487,0,0,0,0,0,0,0,4.065706241,0,0,0.647970448,5.157850213,63.41015011,140.3716613,0,2860000
080006,0800060001,1999,1999/7/17,44.1469728,5.725532055,202207,0,0,0,10.4518878,11.51018742,0,0,7.065887688,0,0,0.265971113,0,4.783980519,12.22480411,0,15.52547252,5.614700641,0,0,1.50588426,39.47392915,0.927917128,0,0,0,0,20.83747365,5.588315017,172.9731731,0,16188000
080006,0800060003,1999,1999/7/17,12.84748543,5.949999809,27699,0,0,6.740494845,2.342054016,1.626592888,0.922111699,0,0,6.534967155,0,0,0,7.28206802,5.655540484,0,0,0,0,11.6231308,1.360414924,4.674896141,7.527731033,0,0.842270931,6.509496035,12.28725436,7.914219939,0,47.43303435,103.4868908,20924000
080008,0800080001,1999,1999/7/17,39.77254132,4.761538029,174508,1.650539263,30.61985457,11.50084782,0,2.898969988,6.322428126,2.917824668,0,0,0,1.326346974,0.73299146,19.51824472,3.341512329,4.308610744,18.91887695,18.0498428,1.431859259,23.16707601,0.210321858,0,0,0,0,10.08991823,22.06997983,14.30941112,87.03310848,53.98964534,12.79551371,21085000
080011,0800110001,1999,1999/7/17,12.06379278,6.530769348,174508,0,0,0,10.55930988,12.14514884,0,0,0.957910522,6.622511837,0,0,9.891130617,1.449463245,0.05841939,20.14571441,1.067757915,18.26320762,0.859402131,1.623761954,0,0,0,2.919877802,37.62620608,0,0.548170224,21.43602719,173.5000233,0,1.054322656,6961000
