wsysCd,rivCd,year,date,area,slope,population,29d,28d,27d,26d,25d,24d,23d,22d,21d,20d,19d,18d,17d,16d,15d,14d,13d,12d,11d,10d,9d,8d,7d,6d,5d,4d,3d,2d,1d,0d,damageObs,dmgObs,dmgPred
080006,0800060001,1993,1993/11/15,44.1469728,5.725532055,202207,368.7697449,113.501503,33.44604492,0,868.6657715,0,365.3684692,0,0,0,0,0,0,871.1065674,86.87113953,0,0,0,0,0,0,0,229.2874908,0,0,35.30595779,256.6052551,3505.509521,7917.319824,0,72564000,72564000,16977761.8
080007,0800070001,1993,1993/11/15,13.52375964,3.954545498,174508,96.2199173,12.65010548,1.150327682,0,195.6873627,0,79.48196411,0,0,0,0,0,0,170.5156555,16.4939003,0,0,0,0,0,0,0,65.06645966,0,0,1.812332273,53.58327103,559.1472168,1118.484375,0,19248000,19248000,18977017.96
080008,0800080001,1993,1993/11/15,39.77254132,4.761538029,174508,356.4859009,55.58018112,12.03469467,0,708.2647095,0,279.78479,0,0,0,0,0,0,632.5283203,60.09583282,0,0,0,0,0,0,0,238.863205,0,0,12.26449776,192.8529358,2115.96582,4311.02002,0,28948000,28948000,17975458.29
080001,0800010001,1996,1996/9/23,28.28568061,4.544000149,374732,0,0,0,256.6531067,282.2591858,0,2.60630703,364.4139404,0,0,0,0,139.4604034,330.0133057,0,351.7575684,162.6675873,0,0,30.96998024,1171.759277,26.84584999,0,0,0,0,681.4205933,140.5217743,4291.864746,0,140536000,140536000,19132857.79
080003,0800030003,1996,1996/9/23,8.778929416,5.422221661,41801,0,0,0,92.32078552,104.8383255,0,0,134.2662811,0,0,0,0,49.96660995,122.0188141,0,130.0632629,59.80023575,0,0,11.29798698,429.5604248,9.965210915,0,0,0,0,251.5196991,51.31843567,1561.363281,0,25213000,25213000,18407104.45
080003,0800030007,1996,1996/9/23,24.06619476,6.43599987,69500,0,0,0,329.5736084,256.831543,0,6.773272991,246.5215759,0,0,0,0,193.9958191,366.213623,0,407.6460571,163.3262024,0,0,40.14976501,1161.514893,25.62302971,0,0,0,0,558.0271606,154.2901611,4858.145996,0,11922000,11922000,17979095.48
080003,0800030009,1996,1996/9/23,30.38373589,5.242857456,27699,0,0,0,402.2579041,400.2255859,0,0,175.0302582,0,0,0,0,193.1675415,437.2991333,0,535.5484009,185.170105,0,0,56.28514862,1229.80542,23.23216248,0,0,0,0,629.1425171,188.8745575,5663.174805,0,27504000,27504000,18783045.05
080005,0800050001,1996,1996/9/23,17.80323434,3.893750191,27699,0,0,0,186.0774078,204.9185638,0,0,125.7956543,0,0,4.735146046,0,85.17032623,217.6410522,0,276.4036255,99.95983124,0,0,26.80961037,702.7636108,16.51992607,0,0,0,0,370.9744263,99.49008179,3079.481934,0,5887000,5887000,19380402.89
080003,0800030003,1997,1997/5/25,8.778929416,5.422221661,41801,0,0,56.03157806,32.79714584,13.04086971,8.288642883,0,0,77.68890381,0,0,0,53.35614395,49.30715179,0,0,0,0,140.5542755,11.69167042,34.13524628,66.13574219,0,9.360946655,53.03140259,113.8580322,56.14657974,0,501.6547852,1226.651978,8246000,8246000,21171506.48
080005,0800050001,1997,1997/5/25,17.80323434,3.893750191,27699,0,0,120.0026093,41.69613647,28.95861435,16.41657066,0,0,116.3435516,0,0,0,129.6443634,100.6869125,0,0,0,0,206.9293213,24.21978569,83.22827148,134.0179596,0,14.99514675,115.8900833,218.7528687,140.8987122,0,844.4614258,1842.401367,1358000,1358000,21356489.65
080001,0800010001,1998,1998/8/31,28.28568061,4.544000149,374732,11.42360687,1874.342651,534.6497803,0,11.02122879,55.12964249,82.8186264,0,0,0,7.121499538,5.840425014,97.58040619,93.40312958,184.7889252,784.3259277,400.4501343,50.09243393,341.8175659,0,0,0,0,0,484.3768616,501.5148926,353.9728088,2114.267822,1567.707275,363.1950684,10947000,10947000,18405189.34
080003,0800030009,1998,1998/8/31,30.38373589,5.242857456,27699,64.78974915,877.4589844,326.553009,12.53156567,115.2181015,248.7177734,96.17341614,0,0,0,40.30522156,16.73159218,941.6156006,144.2178497,133.3177338,610.4173584,716.3646851,43.4609108,944.2541504,0,0,0,0,0,257.7966919,798.078064,578.2827148,3413.653809,2107.641846,489.7886047,12283000,12283000,17865101.3
080005,0800050001,1998,1998/8/31,17.80323434,3.893750191,27699,29.38493729,545.1324463,204.7522888,0,51.61104202,112.5596695,51.94671631,0,0,0,23.61326599,13.04961872,347.4878845,59.48972702,76.70720673,336.8171997,321.3455811,25.49172592,412.4488831,3.744409323,0,0,0,0,179.6331787,392.9170227,254.7537994,1549.470825,961.1903076,227.8015289,2204000,2204000,18911665.39
