avg,p2sigma,m2sigma
0.051198619,0.17203817625022272,-0.069640939
-0.123393455,-0.058163515,-0.188623395
-0.126289745,-0.064889709,-0.187689782
0.036104146419621286,0.10136011835027206,-0.029151826
0.12361539201606478,0.20643495512752102,0.040795829
0.049005142,0.092609295,0.005400988
-0.027253471,0.028447405265694732,-0.082954347
0.008787873,0.063461011,-0.045885264
0.056904498307297845,0.099770209,0.014038787251322071
5.635792546731601e-4,0.035039450269428285,-0.033912292
-0.080754266,-0.03025883,-0.131249702
-0.039309793,0.001453832,-0.080073418
0.076533596,0.15362748882267452,-5.60E-04
0.078971583,0.098171135,0.059772032
-0.046839656,0.1330102785682492,-0.22668959
