avg,p2sigma,m2sigma
-0.041238171,0.017235534799654832,-0.099711877
-0.034069583,0.018358417049899253,-0.086497582
-0.026900308,0.019542671930398586,-0.073343288
-0.019729139,0.020816422126580178,-0.0602747
-0.012554411,0.02222566,-0.047334482
-0.005373173,0.023850633,-0.034596979
0.001820095,0.025840711221783903,-0.022200521
0.009033859,0.028487155871803675,-0.010419437
0.016278393718527285,0.032349091,2.0769656534375472e-4
0.023563279,0.038275772006163396,0.008850785
0.030894513002383755,0.046801109,0.014987916843640061
0.038272223339677724,0.057455941,0.019088506004412534
0.045689231261972836,0.069385532,0.021992930796253606
0.053131565,0.082003137,0.024259992884317485
0.060583337,0.094995417,0.026171257349432757
