avg,p2sigma,m2sigma
-0.069100782,0.1236742860022064,-0.261875851
-0.056669082,0.11457142126017822,-0.227909586
-0.04428785,0.10552562987928424,-0.19410133
-0.032027496,0.096519441,-0.160574434
-0.019929667,0.087600945,-0.127460279
-0.007994685,0.078941455,-0.094930825
0.003800225,0.070937517,-0.063337066
0.015469418733911718,0.064550898,-0.03361206
0.027005356,0.062517838,-0.008507126
0.038397047,0.070988862,0.005805231
0.049654884,0.0922293,0.007080468
0.060815392,0.12009815848566266,0.001532626
0.071927236,0.15047481817035013,-0.006620346
0.083029795,0.18192675241887304,-0.015867162
0.094136287,0.2139180779160472,-0.025645504
