Model,RMSE,MAE,R2,RMSE_STD,MAE_STD,R2_STD,n_seeds
XGBoost,0.802273175544809,0.6316328536701941,0.3718314513942649,,,,
Random Forest,0.8064815877582725,0.632700549342188,0.36522391196825776,,,,
DNN,0.8369053752540017,0.6550105181340294,0.3164242810244131,0.0021384459400297403,0.0022387631256269706,0.0034935861710342544,5.0
SVR,0.8628005175624989,0.6836542054041466,0.273471861969692,,,,
Linear Regression,0.9235147321159398,0.7336038799303394,0.16762447726742324,,,,
